,16288
و,7029
که,3788
از,3620
این,3073
به,3005
رو,2288
با,2270
در,2081
هم,1916
من,1846
خیلی,1723
برای,1254
داره,1203
کیفیت,1137
ولی,1078
هست,1027
های,979
استفاده,881
می,791
یه,752
میشه,724
یک,709
خریدم,706
بود,685
کردم,677
خوب,668
تو,657
بسیار,624
است,611
دیجی,607
واقعا,601
کار,601
عالیه,590
تا,586
نیست,561
قیمت,558
کالا,554
کنید,540
فقط,537
عالی,521
دستگاه,520
خوبه,519
اما,507
خوبی,500
لپ,495
میکنم,493
میکنه,492
باید,490
ها,478
خرید,467
تاپ,452
نداره,446
را,441
ای,427
بعد,424
روی,415
نظر,413
پیشنهاد,413
راضی,407
نسبت,402
شده,397
یا,391
باشه,373
چون,370
مدل,362
اصلا,361
البته,360
اینکه,358
دیگه,351
دو,348
کل,348
اگه,345
ازش,343
هدفون,342
همه,335
محصول,330
سلام,329
صفحه,319
اگر,319
صدای,318
کردن,308
هر,298
اون,297
چند,295
نصب,295
صدا,294
کرد,292
کم,292
توی,288
کنم,284
بازی,283
شد,281
هیچ,279
زیاد,272
مناسب,263
مشکل,261
قیمتش,256
ساخت,255
گوشی,248
بیشتر,248
تلویزیون,241
فوق,238
مثل,238
دی,237
راضیم,236
حتما,236
بالا,233
دوستان,227
کنه,223
ویندوز,223
وقتی,221
همین,221
آن,220
بگم,217
گرفتم,214
رنگ,213
دارم,210
کاملا,208
دوربین,208
خوبیه,208
شما,206
سال,206
قابل,206
یکی,205
نمیشه,204
حتی,202
روز,202
ی,201
توجه,199
هستم,197
باهاش,195
بشه,193
تر,193
بهتر,192
نه,190
الان,187
بدون,187
میده,186
راحت,186
بی,183
گوش,181
پیش,180
العاده,174
نمی,174
باز,173
هستش,172
داشته,171
پس,170
سرعت,169
مورد,169
مشکلی,169
داشت,168
حدود,168
ک,167
کمی,166
دارد,166
سه,165
اتو,165
ماه,163
لپتاپ,163
سیستم,162
جنس,162
دستم,161
2,159
صداش,159
نمایش,158
اول,158
بار,155
داشتم,154
رسید,153
نظرم,153
بودن,152
خود,149
پوست,149
تنها,148
بهترین,146
3,146
واسه,145
تصویر,144
انتخاب,144
نرم,143
قرار,142
حالت,142
بخرید,140
ارزش,140
روشن,139
پایین,139
گارانتی,139
روش,138
ساعت,138
طراحی,137
موقع,137
اینه,137
سبک,137
سنگین,136
فکر,136
برند,136
کرده,135
بر,135
بودم,133
دست,132
شاید,130
برنامه,130
بدنه,130
10,130
ام,128
خریدش,127
موجود,127
رنج,126
سخت,126
اینو,126
تهیه,126
پخش,126
سیم,124
1,123
چیزی,123
جی,123
عکس,122
متاسفانه,122
نمیکنه,122
کلا,120
کننده,120
تمام,120
سری,120
نکنید,119
4,119
5,118
خودم,118
بسته,117
یکم,117
بازار,117
وجود,116
باشید,116
انجام,116
شک,115
صورت,115
آب,115
انتظار,114
شارژ,114
باعث,113
قدرت,113
فیلم,113
بالایی,113
شدم,112
نیاز,112
کرم,112
هفته,110
دادم,109
تبلت,109
تقریبا,108
شدن,108
لحاظ,107
پیدا,107
داخل,107
نکته,107
باشد,106
افزار,105
مقایسه,103
هزینه,102
هنوز,102
شگفت,102
محصولات,102
حد,101
اس,101
ممنون,101
راحتی,101
باتری,100
خودش,99
بیس,99
چاپ,99
پرینتر,99
امروز,98
اجرا,98
اندازه,98
دیدم,98
قابلیت,97
تفال,97
جای,96
بهتره,96
معمولی,96
انگیز,96
حرفه,95
نبود,95
شرکت,95
سی,95
زیادی,94
گزینه,94
قوی,94
تازه,94
وصل,93
لب,93
بهش,92
جا,92
میاد,92
درست,92
برق,92
مناسبی,91
دسته,91
پی,91
هارد,91
دیجیکالا,90
خریداری,89
بد,89
مدت,89
گرافیک,89
سامسونگ,88
تاب,88
کنین,87
راه,87
سفارش,87
زیر,87
توصیه,86
امکانات,86
کیفیتش,86
بوده,86
ما,86
تابه,86
ب,85
هایی,85
کارایی,85
همون,84
8,84
دنبال,84
کارهای,84
زیبا,84
میتونید,83
بخاطر,83
چه,83
یعنی,83
اذیت,83
سایت,83
بندی,83
بیرون,82
عنوان,82
داغ,82
ال,82
حالا,82
مصرف,82
دکمه,81
عملکرد,80
هاش,80
دارید,80
تشکر,80
پوشش,80
برا,79
اش,79
سر,79
کامل,79
ندارد,79
قبل,78
کلی,78
مناسبه,78
ضعیف,77
بین,77
همراه,77
خوش,76
غیر,76
اچ,76
مهم,76
نور,75
بنده,75
تولید,75
بعضی,75
بوش,75
اولین,74
ویژه,74
قسمت,74
کند,74
دارن,74
حرف,73
حال,73
جواب,73
دریل,73
نداشت,72
هستن,72
سریع,72
کن,72
تست,71
مخصوصا,71
ماهه,71
دور,71
مشخصات,71
وی,71
پد,70
نکردم,69
همچنین,69
نشون,69
6,69
نسبتا,69
متوجه,69
ساده,69
ده,69
بگیرید,69
نوشته,69
پودر,69
ضعف,68
طول,68
زود,68
نمیکنم,68
تنظیم,68
ضمن,67
بقیه,67
کنترل,67
تاچ,67
پر,67
شود,67
کمه,66
حداقل,66
نوع,66
دارند,66
همیشه,65
چیز,65
متوسط,65
زمان,65
درجه,65
جمع,65
رم,64
امیدوارم,64
خراب,64
ماهی,64
هستند,63
نقاط,63
کابل,63
اونم,63
کارت,63
کنن,63
ظاهر,62
عمل,62
کسی,62
نقطه,61
عوض,61
لذت,61
شه,61
فشار,61
ساله,60
براتون,60
اصلی,60
گفت,60
برابر,60
حس,59
رده,59
مقدار,59
کمتر,59
ممکنه,59
وزن,58
برام,58
دیگر,58
دقیقه,58
خاموش,58
دارای,58
بخار,58
تجربه,57
7,57
اضافه,57
مثلا,57
جعبه,57
دادن,57
پول,57
کیبورد,57
جارو,57
قبلی,56
دلیل,56
بنظرم,56
داشتن,56
رنگش,56
وقت,56
داخلی,56
خب,56
بده,56
شیک,56
کوچک,56
تعویض,55
چرا,55
ایران,55
سونی,55
پشیمون,55
چین,55
نمیدونم,54
براش,54
بزرگ,54
نداشته,54
شدت,54
نشده,54
دوستانی,53
نداشتم,53
امکان,53
تحویل,53
پشت,53
قطع,53
نگه,53
باطری,53
کاربردی,53
دقت,53
نگاه,53
تحقیق,53
مارک,53
دوباره,52
خریدمش,52
قیمتی,52
هنگام,52
بالاست,52
ظرف,52
قابلمه,52
میشد,51
چی,51
یو,51
کیف,51
کلید,51
کارتریج,51
حافظه,50
بیشتری,50
داده,50
ضعیفه,50
بدید,50
دهی,50
ایرانی,50
سایز,50
ندیدم,49
لطفا,49
دارمش,49
گفتن,49
ترین,49
بهتون,49
روزمره,49
ثانیه,49
غذا,49
اتصال,48
میتونم,48
جدید,48
نیستم,48
حجم,48
میکردم,48
موسیقی,48
خانگی,48
فروش,47
بعدی,47
خاطر,47
وگرنه,47
بالاتر,47
افزاری,47
نمایندگی,47
جدا,47
درد,47
درایور,47
پورت,47
بلند,47
دوم,46
خلاصه,46
شبکه,46
فن,46
تمیز,46
بالای,46
میشود,46
احساس,45
کنار,45
چشم,45
گرفته,45
خودتون,45
بررسی,45
میگن,45
کسانی,45
داد,45
پارس,45
خدمات,44
میکنید,44
گفتم,44
شماره,44
کوچیک,44
خروجی,44
گوشت,44
مته,44
اثر,43
